ID,Name,Type,Organization
36,AEROCARIBBEAN AIRLINES,-0- ,CUBA
173,"ANGLO-CARIBBEAN CO., LTD.",-0- ,CUBA
306,BANCO NACIONAL DE CUBA,-0- ,CUBA
424,BOUTIQUE LA MAISON,-0- ,CUBA
475,CASA DE CUBA,-0- ,CUBA
480,"CECOEX, S.A.",-0- ,CUBA
535,CIMEX,-0- ,CUBA
536,CIMEX IBERICA,-0- ,CUBA
537,"CIMEX, S.A.",-0- ,CUBA
540,"COMERCIAL IBEROAMERICANA, S.A.",-0- ,CUBA
551,"COMERCIAL CIMEX, S.A.",-0- ,CUBA
552,"COMERCIAL DE RODAJES Y MAQUINARIA, S.A.",-0- ,CUBA
555,COMERCIALIZACION DE PRODUCTOS VARIOS,-0- ,CUBA
559,COMPANIA DE IMPORTACION Y EXPORTACION IBERIA,-0- ,CUBA
576,"CORPORACION CIMEX, S.A.",-0- ,CUBA
578,COTEI,-0- ,CUBA
589,"CRYMSA - ARGENTINA, S.A.",-0- ,CUBA
590,CUBACANCUN CIGARS AND GIFT SHOPS,-0- ,CUBA
591,CUBAEXPORT,-0- ,CUBA
592,CUBAFRUTAS,-0- ,CUBA
593,CUBAN CIGARS TRADE,-0- ,CUBA
621,CUBANATUR,-0- ,CUBA
622,CUBATABACO,-0- ,CUBA
636,"CUMEXINT, S.A.",-0- ,CUBA
651,"DELVEST HOLDING, S.A.",-0- ,CUBA
701,EDICIONES CUBANAS,-0- ,CUBA
702,"EDYJU, S.A.",-0- ,CUBA
735,EMPRESA CUBANA DE AVIACION,-0- ,CUBA
751,EMPRESA CUBANA DE PESCADOS Y MARISCOS,-0- ,CUBA
758,EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL,-0- ,CUBA
767,ETCO INTERNATIONAL COMMODITIES LTD.,-0- ,CUBA
768,"ETCO INTERNATIONAL COMPANY, LIMITED",-0- ,CUBA
815,"GALAX TRADING CO., LTD.",-0- ,CUBA
906,HAVIN BANK LIMITED,-0- ,CUBA
907,HAVANATUR,-0- ,CUBA
1042,INSTITUTO NACIONAL DE TURISMO DE CUBA,-0- ,CUBA
1043,INTERCONSULT,-0- ,CUBA
1241,"KAVE, S.A.",-0- ,CUBA
1287,LA EMPRESA CUBANA DE FLETES,-0- ,CUBA
1316,"LEVERAGE, S.A.",-0- ,CUBA
1555,NIREF,-0- ,CUBA
1570,NORDSTRAND LTD.,-0- ,CUBA
1571,NORDSTRAND MARITIME AND TRADING COMPANY,-0- ,CUBA
1641,PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION,-0- ,CUBA
1660,"PESCABRAVA, S.A.",-0- ,CUBA
1700,PRELASA,-0- ,CUBA
1701,PRENSA LATINA CANADA LTD.,-0- ,CUBA
1702,PRENSA LATINA,-0- ,CUBA
1888,"SERVINAVES, S.A.",-0- ,CUBA
2109,"TROBER, S.A.",-0- ,CUBA
2110,TROPIC TOURS GMBH,-0- ,CUBA
2184,"VIAJES GUAMA, S.A.",-0- ,CUBA
2186,VINALES TOURS,-0- ,CUBA
2674,"ABBAS, Abu",individual,SDGT
2675,"AL RAHMAN, Shaykh Umar Abd",individual,SDGT
2676,"AL ZAWAHIRI, Dr. Ayman",individual,SDGT
2677,"AL-ZOMOR, Abboud Abdul Latif Hassan",individual,SDGT
2678,"AWDA, Abd Al Aziz",individual,SDGT
2679,"FADLALLAH, Shaykh Muhammad Husayn",individual,SDGT
2681,"HAWATMA, Nayif",individual,SDGT
2682,"ISLAMBOULI, Mohammad Shawqi",individual,SDGT
2683,"JABRIL, Ahmad",individual,SDGT
2685,"NAJI, Talal Muhammad Rashid",individual,SDGT
2686,"NASRALLAH, Hasan",individual,SDGT
2690,"TUFAYLI, Subhi",individual,SDGT
2691,"YASSIN, Sheik Ahmed Ismail",individual,SDGT
3748,COBALT REFINERY CO. INC.,-0- ,CUBA
3749,LA COMPANIA GENERAL DE NIQUEL,-0- ,CUBA
3750,INTERNATIONAL COBALT CO. INC.,-0- ,CUBA
3751,MOA NICKEL SA,-0- ,CUBA
3754,"ABU MARZOOK, Mousa Mohammed",individual,SDGT
4107,"RODRIGUEZ OREJUELA, Gilberto Jose",individual,SDNT
4108,"RODRIGUEZ OREJUELA, Miguel Angel",individual,SDNT
4238,MAR AZUL,vessel,CUBA
4243,EBANO,vessel,CUBA
4249,TIFON,vessel,CUBA
4257,"ABDALLAH, Ramadan",individual,SDGT
4632,BANK MARKAZI JOMHOURI ISLAMI IRAN,-0- ,IRAN] [SDGT] [IRGC] [IFSR
4633,BANK MASKAN,-0- ,IRAN] [IRAN-EO13902
4635,BANK REFAH KARGARAN,-0- ,IRAN] [IRAN-EO13902
4639,BANK KESHAVARZI IRAN,-0- ,IRAN] [IRAN-EO13902
4642,BANK SADERAT PLC,-0- ,IRAN] [SDGT] [IFSR
4688,ABU SAYYAF GROUP,-0- ,FTO] [SDGT
4690,ARMED ISLAMIC GROUP,-0- ,SDGT
4691,AUM SHINRIKYO,-0- ,SDGT
4693,EUZKADI TA ASKATASUNA,-0- ,SDGT
4694,GAMA'A AL-ISLAMIYYA,-0- ,SDGT
4695,HAMAS,-0- ,FTO] [SDGT
4696,HARAKAT UL-MUJAHIDEEN,-0- ,FTO] [SDGT
4697,HIZBALLAH,-0- ,FTO] [SDGT
4700,KAHANE CHAI,-0- ,SDGT
4702,KURDISTAN WORKERS' PARTY,-0- ,SDNTK] [FTO] [SDGT
4703,LIBERATION TIGERS OF TAMIL EELAM,-0- ,FTO] [SDGT
4706,NATIONAL LIBERATION ARMY,-0- ,FTO] [SDGT
4707,PALESTINE ISLAMIC JIHAD - SHAQAQI FACTION,-0- ,FTO] [SDGT
4708,PALESTINE LIBERATION FRONT - ABU ABBAS FACTION,-0- ,FTO] [SDGT
4709,POPULAR FRONT FOR THE LIBERATION OF PALESTINE,-0- ,FTO] [SDGT
4710,POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND,-0- ,FTO] [SDGT
4713,REVOLUTIONARY PEOPLE'S LIBERATION PARTY/FRONT,-0- ,FTO] [SDGT
4714,REVOLUTIONARY PEOPLE'S STRUGGLE,-0- ,SDGT
4715,SHINING PATH,-0- ,SDNTK] [FTO] [SDGT
4717,DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE - HAWATMEH FACTION,-0- ,SDGT
6365,"BIN LADIN, Usama bin Muhammad bin Awad",individual,SDGT
6366,AL QA'IDA,-0- ,FTO] [SDGT
6367,"AL-MASRI, Abu Hafs",individual,SDGT
6368,"MUSA, Rifa'i Ahmad Taha",individual,SDGT
6531,COLOMBIANA DE CERDOS LTDA.,-0- ,SDNT
6539,DISTRIBUIDORA DE ELEMENTOS PARA LA CONSTRUCCION S.A.,-0- ,SDNT
6550,MATADERO METROPOLITANO LTDA.,-0- ,SDNT
6635,"OMAR, Mohammed",individual,SDGT
6636,TALIBAN,-0- ,SDGT
6663,COMERCIALIZADORA DE CARNES LTDA.,-0- ,SDNT
6680,SERVIAUTOS UNO A 1A LIMITADA,-0- ,SDNT
6703,"AMEZCUA CONTRERAS, Jose de Jesus",individual,SDNTK
6704,"AMEZCUA CONTRERAS, Luis Ignacio",individual,SDNTK
6706,"ARELLANO FELIX, Ramon Eduardo",individual,SDNTK
6707,"CARO QUINTERO, Rafael",individual,SDNTK
6708,"CARRILLO FUENTES, Vicente",individual,SDNTK
6709,"CHANG, Chi Fu",individual,SDNTK
6710,"HEATH, Noel Timothy",individual,SDNTK
6712,"OGUNGBUYI, Oluwole A.",individual,SDNTK
6713,"OGUNGBUYI, Abeni O.",individual,SDNTK
6714,"WEI, Hsueh Kang",individual,SDNTK
6715,"ARELLANO FELIX, Benjamin Alberto",individual,SDNTK
6717,"HENAO MONTOYA, Arcangel de Jesus",individual,SDNT
6719,AGRICOLA GANADERA HENAO GONZALEZ Y CIA. S.C.S.,-0- ,SDNT
6720,COMPANIA AGROINVERSORA HENAGRO LTDA.,-0- ,SDNT
6721,DESARROLLOS COMERCIALES E INDUSTRIALES HENAO GONZALEZ Y CIA. S.C.S.,-0- ,SDNT
6722,MAQUINARIA TECNICA Y TIERRAS LTDA.,-0- ,SDNT
6723,ORGANIZACION EMPRESARIAL A DE J HENAO M E HIJOS Y CIA. S.C.S.,-0- ,SDNT
6724,"GONZALEZ BENITEZ, Olga Patricia",individual,SDNT
6725,ISLAMIC MOVEMENT OF UZBEKISTAN,-0- ,FTO] [SDGT
6726,CAVIEDES DILEO Y CIA. S.C.S.,-0- ,SDNT
6823,"PATINO FOMEQUE, Victor Julio",individual,SDNT
6824,INDUSTRIA DE PESCA SOBRE EL PACIFICO S.A,-0- ,SDNT
6826,GALAPAGOS S.A,-0- ,SDNT
6831,"DUQUE BOTERO, Jorge Alirio",individual,SDNT
6832,"ECHEVERRY HERRERA, Hernando",individual,SDNT
6853,NEW IRISH REPUBLICAN ARMY,-0- ,FTO] [SDGT
6856,"AFGHAN, Sher",individual,SDNTK
6857,"CARDENAS GUILLEN, Osiel",individual,SDNTK
6858,"CARO QUINTERO, Miguel Angel",individual,SDNTK
6859,"CHANG, Ping Yun",individual,SDNTK
6860,"GILBOA, Joseph",individual,SDNTK
6861,"GUZMAN LOERA, Joaquin",individual,SDNTK
6862,"HAMIEH, Jamiel",individual,SDNTK
6863,"HIGUERA GUERRERO, Ismael",individual,SDNTK
6864,"KHAN, Nasir Ali",individual,SDNTK
6865,"MALHERBE DE LEON, Oscar",individual,SDNTK
6866,"RAMON MAGANA, Alcides",individual,SDNTK
6895,UNITED SELF-DEFENSE FORCES OF COLOMBIA,-0- ,SDNTK] [SDGT
6896,ASBAT AL-ANSAR,-0- ,FTO] [SDGT
6897,SALAFIST GROUP FOR CALL AND COMBAT,-0- ,FTO] [SDGT
6898,LIBYAN ISLAMIC FIGHTING GROUP,-0- ,SDGT
6899,AL-ITIHAAD AL-ISLAMIYA,-0- ,SDGT
6900,ISLAMIC ARMY OF ADEN,-0- ,SDGT
6901,"AL-ADL, Sayf",individual,SDGT
6903,"AL-WALID, Mahfouz Ould",individual,SDGT
6905,"HUSAYN, Zayn al-Abidin Muhammad",individual,SDGT
6906,"AL-IRAQI, Abd al-Hadi",individual,SDGT
6907,"SHIHATA, Thirwat Salah",individual,SDGT
6908,"AHMAD, Tariq Anwar al-Sayyid",individual,SDGT
6910,MAKHTAB AL-KHIDAMAT/AL KIFAH,-0- ,SDGT
6911,WAFA HUMANITARIAN ORGANIZATION,-0- ,SDGT
6912,AL RASHID TRUST,-0- ,SDGT
6913,MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY,-0- ,SDGT
6915,"ABDULLAH, Abdullah Ahmed",individual,SDGT
6916,"ALI, Ahmed Mohammed Hamed",individual,SDGT
6918,"AL-MUGHASSIL, Ahmad Ibrahim",individual,SDGT
6919,"AL-NASSER, Abdelkarim Hussein Mohamed",individual,SDGT
6920,"AL-YACOUB, Ibrahim Salih Mohammed",individual,SDGT
6921,"ATWA, Ali",individual,SDGT
6923,"EL-HOORIE, Ali Saed Bin Ali",individual,SDGT
6924,"FADHIL, Mustafa Mohamed",individual,SDGT
6925,"GHAILANI, Ahmed Khalfan",individual,SDGT
6926,"IZZ-AL-DIN, Hasan",individual,SDGT
6927,"MOHAMMED, Fazul Abdullah",individual,SDGT
6928,"MOHAMMED, Khalid Shaikh",individual,SDGT
6931,"YASIN, Abdul Rahman",individual,SDGT
6932,AL-HAMATI SWEETS BAKERIES,-0- ,SDGT
6935,JAISH-I-MOHAMMED,-0- ,FTO] [SDGT
6936,JAM'YAH TA'AWUN AL-ISLAMIA,-0- ,SDGT
6937,RABITA TRUST,-0- ,SDGT
6938,"AGHA, Haji Abdul Manan",individual,SDGT
6939,"AL-AHDAL, Mohammad Hamdi Mohammad Sadiq",individual,SDGT
6940,"AL-HAQ, Amin",individual,SDGT
6941,"HAMDAN, Salim Ahmad Salim",individual,SDGT
6944,"AL-SHARIF, Sa'd Abdullah Hussein",individual,SDGT
6945,"BIN MARWAN, Bilal",individual,SDGT
6946,"BIN MUHAMMAD, Ayadi Chafiq",individual,SDGT
6947,"DARKAZANLI, Mamoun",individual,SDGT
6948,"HIJAZI, Riad",individual,SDGT
6950,"UTHMAN, Omar Mahmoud",individual,SDGT
7006,"AWEYS, Hassan Dahir",individual,SDGT
7114,AL-AQSA ISLAMIC BANK,-0- ,SDGT
7115,BEIT EL-MAL HOLDINGS,-0- ,SDGT
7116,HOLY LAND FOUNDATION FOR RELIEF AND DEVELOPMENT,-0- ,SDGT
7132,UMMAH TAMEER E-NAU,-0- ,SDGT
7133,"MAHMOOD, Sultan Bashir-Ud-Din",individual,SDGT
7135,"MAJEED, Abdul",individual,SDGT
7138,"TUFAIL, Mohammed",individual,SDGT
7140,LASHKAR E-TAYYIBA,-0- ,FTO] [SDGT
7141,CONTINUITY IRA,-0- ,FTO] [SDGT
7142,FIRST OF OCTOBER ANTIFASCIST RESISTANCE GROUP,-0- ,SDGT
7143,LOYALIST VOLUNTEER FORCE,-0- ,SDGT
7144,ORANGE VOLUNTEERS,-0- ,SDGT
7145,RED HAND DEFENDERS,-0- ,SDGT
7146,ULSTER DEFENCE ASSOCIATION,-0- ,SDGT
7148,"BOULGHITI, Boubekeur",individual,SDGT
7149,REVIVAL OF ISLAMIC HERITAGE SOCIETY,-0- ,SDGT
7150,"AL-LIBI, Abd al-Muhsin",individual,SDGT
7151,ACCESOS ELECTRONICOS S.A.DE C.V.,-0- ,SDNTK
7152,"ADMINISTRADORA DE INMUEBLES VIDA, S.A. DE C.V.",-0- ,SDNTK
7153,"ADP, S.C.",-0- ,SDNTK
7154,"COMPLEJO TURISTICO OASIS, S.A. DE C.V.",-0- ,SDNTK
7156,"DISTRIBUIDORA IMPERIAL DE BAJA CALIFORNIA, S.A. DE C.V.",-0- ,SDNTK
7157,"FARMACIA VIDA SUPREMA, S.A. DE C.V.",-0- ,SDNTK
7158,"FORPRES, S.C.",-0- ,SDNTK
7160,GEX EXPLORE S. DE R.L. DE C.V.,-0- ,SDNTK
7161,"OPERADORA VALPARK, S.A. DE C.V.",-0- ,SDNTK
7162,"VALPARK, S.A. DE C.V.",-0- ,SDNTK
7163,"AGUILAR AMAO, Miguel",individual,SDNTK
7164,"AGUIRRE GALINDO, Manuel",individual,SDNTK
7166,"ARELLANO FELIX, Enedina",individual,SDNTK
7167,"FREGOSO AMEZQUITA, Maria Antonieta",individual,SDNTK
7169,"GIL GARCIA, Jose Alejandro",individual,SDNTK
7170,"HERNANDEZ PULIDO, Maria Elda",individual,SDNTK
7172,"MIJARES TRANCOSO, Gilberto",individual,SDNTK
7173,"MORENO MEDINA, Luis Ignacio",individual,SDNTK
7174,"OROPEZA MEDRANO, Francisco Javier",individual,SDNTK
7176,"RAMIREZ AGUIRRE, Sergio Humberto",individual,SDNTK
7177,"TOLEDO CARREJO, Luis Raul",individual,SDNTK
7178,"ABAUNZA MARTINEZ, Javier",individual,SDGT
7179,"ALBERDI URANGA, Itziar",individual,SDGT
7180,"ALCALDE LINARES, Angel",individual,SDGT
7181,"ALBISU IRIARTE, Miguel",individual,SDGT
7182,"ARZALLUS TAPIA, Eusebio",individual,SDGT
7183,"ELCORO AYASTUY, Paulo",individual,SDGT
7184,"FIGAL ARRANZ, Antonio Agustin",individual,SDGT
7185,"GOGEASCOECHEA ARRONATEGUI, Eneko",individual,SDGT
7186,"GOIRICELAYA GONZALEZ, Cristina",individual,SDGT
7187,"IPARRAGUIRRE GUENECHEA, Maria Soledad",individual,SDGT
7188,"MORCILLO TORRES, Gracia",individual,SDGT
7189,"MUGICA GONI, Ainhoa",individual,SDGT
7190,"MUNOA ORDOZGOITI, Alona",individual,SDGT
7191,"NARVAEZ GONI, Juan Jesus",individual,SDGT
7192,"OLARRA GURIDI, Juan Antonio",individual,SDGT
7193,"ORBE SEVILLANO, Zigor",individual,SDGT
7194,"OTEGUI UNANUE, Mikel",individual,SDGT
7195,"PEREZ ARAMBURU, Jon Inaki",individual,SDGT
7196,"SAEZ DE EGUILAZ MURGUIONDO, Carlos",individual,SDGT
7197,"URANGA ARTOLA, Kemen",individual,SDGT
7198,"VILA MICHELENA, Fermin",individual,SDGT
7199,AL-HARAMAIN ISLAMIC FOUNDATION,-0- ,SDGT
7200,AL-AQSA MARTYRS BRIGADE,-0- ,FTO] [SDGT
7201,THE AID ORGANIZATION OF THE ULEMA,-0- ,SDGT
7203,"AOUADI, Mohamed Ben Belgacem",individual,SDGT
7204,"BEN HENI, Lased",individual,SDGT
7205,"BOUCHOUCHA, Mokhtar",individual,SDGT
7207,"ES SAYED, Abdelkader Mahmoud",individual,SDGT
7208,"ESSID, Sami Ben Khemais",individual,SDGT
7209,"AL-FAWAZ, Khalid Abd al-Rahman Hamd",individual,SDGT
7210,"AL-MASRI, Abu Hamza",individual,SDGT
7211,"APAOLAZA SANCHO, Ivan",individual,SDGT
7212,"BERASATEGUI ESCUDERO, Ismael",individual,SDGT
7213,"GALLASTEGUI SODUPE, Lexuri",individual,SDGT
7214,"PALACIOS ALDAY, Gorka",individual,SDGT
7215,"QUINTANA ZORROZUA, Asier",individual,SDGT
7216,"RUBENACH ROIG, Juan Luis",individual,SDGT
7217,"ZUBIAGA BRAVO, Manex",individual,SDGT
7219,ASKATASUNA,-0- ,SDGT
7220,"DA COSTA, Luis Fernando",individual,SDNTK
7221,"GONZALEZ QUIRARTE, Eduardo",individual,SDNTK
7222,"IBRAHIM, Haji",individual,SDNTK
7223,"KNOWLES, Samuel",individual,SDNTK
7224,"TUITO, Oded",individual,SDNTK
7226,"ZAMBADA GARCIA, Ismael",individual,SDNTK] [ILLICIT-DRUGS-EO14059
7227,BABBAR KHALSA INTERNATIONAL,-0- ,SDGT
7228,INTERNATIONAL SIKH YOUTH FEDERATION,-0- ,SDGT
7234,NEW PEOPLE'S ARMY / COMMUNIST PARTY OF THE PHILIPPINES,-0- ,FTO] [SDGT
7235,"SISON, Jose Maria",individual,SDGT
7251,"BEN SOLTANE, Adel",individual,SDGT
7252,"BEN ATTIA, Nabil Ben Mohamed Ben Ali",individual,SDGT
7253,"CHEKKOURI, Yassine",individual,SDGT
7254,"JELASSI, Riadh Ben Belkassem Ben Mohamed",individual,SDGT
7255,"KAMMOUN, Mehdi",individual,SDGT
7256,"KISHK, Samir",individual,SDGT
7257,"MAAROUFI, Tarek Ben Habib Ben Al-Toumi",individual,SDGT
7258,"REMADNA, Abdelhalim",individual,SDGT
7259,"THAER, Mansour",individual,SDGT
7260,"TLILI, Al-Azhar Ben Ammar Ben Abadallah",individual,SDGT
7261,"WADDANI, Habib",individual,SDGT
7262,EASTERN TURKISTAN ISLAMIC MOVEMENT,-0- ,SDGT
7263,"JULAIDAN, Wa'el Hamza Abd Al-Fatah",individual,SDGT
7264,"BAHAJI, Said",individual,SDGT
7265,"BINALSHIBH, Ramzi Mohammed Abdullah",individual,SDGT
7266,"EL MOTASSADEQ, Mounir",individual,SDGT
7267,"ESSABAR, Zakarya",individual,SDGT
7268,TUNISIAN COMBAT GROUP,-0- ,SDGT
7269,"GLOBAL RELIEF FOUNDATION, INC.",-0- ,SDGT
7270,"GLOBAL RELIEF FOUNDATION, INC.",-0- ,SDGT
7280,JEMAA ISLAMIYAH,-0- ,FTO] [SDGT
7281,"GOMEZ BUSTAMANTE, Luis Hernando",individual,SDNT
7282,"MONTOYA SANCHEZ, Diego Leon",individual,SDNT
7283,AGRICOLA DOIMA DEL NORTE DEL VALLE LTDA.,-0- ,SDNT
7284,AGROPECUARIA MIRALINDO S.A.,-0- ,SDNT
7285,ARIZONA S.A.,-0- ,SDNT
7286,GANADERIA EL VERGEL LTDA.,-0- ,SDNT
7287,GANADERIAS BILBAO LTDA.,-0- ,SDNT
7288,INMOBILIARIA EL ESCORIAL LTDA.,-0- ,SDNT
